name,longitude,latitude,source,index
旧营加油站,103.37534,25.642138,3,6060
加油站,103.151223,24.92824,3,6062
哨峰加油站,103.0126,25.160855,3,6063
东川石羊加油站,103.183368,26.066603,3,6064
小新村加油站,102.816568,24.987938,3,6065
加油站,102.471448,25.541214,3,6067
西站加油站,102.688352,25.052918,3,6068
兰昆加油站,102.828179,24.982788,3,6069
岗头加油站,102.718482,25.086935,3,6071
三家村加油站,103.335238,24.842122,3,6072
杨林加油站,103.052776,25.253783,3,6073
白莲寺加油站,103.15981,24.750814,3,6074
九龙农机加油站,102.791528,25.739701,3,6075
加油站,103.192297,26.082863,3,6076
加油站,102.49563,25.232828,3,6077
强林石化,102.547628,24.435228,3,6078
没租哨加油站,103.06656,25.502959,3,6082
宜马加油站,103.160614,24.968469,3,6083
强林石化阳关加油站,102.823342,24.986116,3,6084
牛街庄加油站,102.787645,25.002541,3,6086
出口加工区加油站,102.79996,24.966084,3,6087
新潭二号路加油站,102.84576,24.911747,3,6088
加油站,102.984681,24.68851,3,6089
骏马加油站,103.179241,24.915488,3,6091
东兴加油站,102.742768,24.965458,3,6092
双河加油站,102.430022,24.562197,3,6093
马鹿塘国旺加油站,102.559796,26.151724,3,6094
加油站,102.742588,25.043515,3,6095
吴家营乡农机加油站,102.843091,24.866594,3,6096
小百户加油站,103.573643,25.044444,3,6097
加油站,103.578024,25.441623,3,6098
加油站,103.642786,25.001593,3,6099
兴联加油站,102.979129,25.891367,3,6101
梁源加油站,102.664938,25.045831,3,6102
陆良农机服务站,103.62252,24.988553,3,6103
余家海服务区－余家海加油站,102.654073,24.660959,3,6105
关雨路加油站,102.760226,25.00014,3,6106
仁德农机加油站,103.264944,25.563136,3,6107
泰锦加油站,103.145907,24.781671,3,6109
富运石化加油站,102.508751,25.217992,3,6113
前哨加油站,103.619283,24.642657,3,6114
加油站,102.586486,24.774164,3,6115
鸿运大道加油站,102.825637,24.908874,3,6116
仁兴石化,102.301402,25.378071,3,6117
得福加油站,102.765999,25.30486,3,6118
振鑫矿冶加油站,102.411701,25.528534,3,6119
白吉加油站,103.27168,24.771974,3,6121
禄劝城北加油站,102.470941,25.56287,3,6122
散旦加油站,102.658348,25.297193,3,6123
加油站,102.825712,25.00652,3,6125
加油站,103.137554,24.971613,3,6126
斗南加油站,102.792696,24.895668,3,6127
德宏印象,102.84482,24.88975,3,6129
昱澄家龙城故事茶餐厅,102.80076,24.88944,3,6130
昭通天麻火腿鸡,102.76917,24.97493,3,6131
浪子火锅,102.75922,25.00509,3,6132
老地方正宗建水烧烤,102.75142,25.05761,3,6133
满堂红康都,102.73918,25.14054,3,6134
昆明味道,102.74187,25.12741,3,6135
德福缘饭店,102.75745,25.1112,3,6136
腾冲特色饵丝店,102.75253,25.10898,3,6137
创香园牛菜馆,102.75215,25.10843,3,6138
牛嘎嘎老火锅,102.75052,25.1064,3,6139
漾濞回香源,102.68122,25.00644,3,6140
正宗抚仙湖石锅鱼,102.68438,25.02096,3,6141
津香园,102.66983,25.05121,3,6142
南氏拉面,102.67059,25.05277,3,6143
贡茶南亚风情店,102.684,25.00899,3,6144
兰州拉面NO．2,102.70332,25.04381,3,6145
茶物语,102.65636,25.06036,3,6146
正宗富源酸菜土猪脚火锅NO．38,102.75122,25.02451,3,6147
茶源主题时尚餐饮吧昆明店,102.7448,25.00721,3,6148
建水朋友烧烤,102.72817,25.06292,3,6149
重庆串串香火锅鸣泉村NO．6,102.77456,24.99591,3,6150
家味园川菜酒楼,102.75791,25.02415,3,6151
昆明海鲜码头,102.70066,25.03813,3,6152
石屏阿牛米线烧烤城,102.79436,24.89184,3,6153
贵州六盘水特色羊肉米线,102.76971,24.97478,3,6154
美味缘火锅店,102.75762,24.95961,3,6155
杨记香草酸汤鸡,102.86389,24.85725,3,6156
宣威仁家,102.861,24.8576,3,6157
川味园,102.79144,25.00016,3,6158
紫南饭店,102.79201,25.00058,3,6159
翟记农家菜,102.77904,24.98908,3,6160
粗茶淡饭,102.756,24.96098,3,6161
福建沙县营养小吃,102.76348,24.98739,3,6162
鲜味居餐厅,102.85961,24.85512,3,6163
南方优乐自助餐厅,102.85124,24.85049,3,6164
沾益牛大锅,102.73971,24.95553,3,6165
李记农家园,102.73736,24.95427,3,6166
正宗富源酸菜土猪脚火锅NO．18,102.75775,24.9819,3,6167
御香工坊,102.75845,24.98112,3,6168
闽南海鲜馆,102.75678,24.96339,3,6169
食为先饭店,102.75841,24.98199,3,6170
杨记正宗富源酸菜猪脚NO．5,102.77853,24.89651,3,6171
富源呈味源呈贡店,102.80494,24.8919,3,6172
顺清牛菜馆,102.80079,24.8917,3,6173
过江饵丝,102.69557,25.06635,3,6174
正宗富源酸菜土猪脚,102.68061,25.0558,3,6175
滇池渔家农家菜馆,102.62759,24.98127,3,6176
香堡法餐厅,102.65624,24.97969,3,6177
弘兴鑫餐馆,102.67981,25.01505,3,6178
重庆菜馆,102.67941,25.01469,3,6179
老昆明正宗小锅米线,102.68267,25.01305,3,6180
傣家百味楼,102.64664,25.0554,3,6181
葫芦酒庄,102.64463,25.06515,3,6182
格桑达瓦藏餐吧,102.68515,25.00862,3,6183
翠湖小吉坡8号,102.70215,25.05175,3,6184
小段大理风味烧烤,102.69598,25.07233,3,6185
聚惠园,102.76508,25.02157,3,6186
贵州火锅店,102.76602,25.02166,3,6187
新村菊敏园,102.7794,25.0118,3,6188
文山小吃,102.70356,25.04124,3,6189
北方羊肉串,102.72948,25.00658,3,6190
南来盛概念店,102.69699,25.05058,3,6191
鑫旺北方烧烤,102.72647,25.01122,3,6192
云龙饭店,102.66688,25.24463,3,6193
李记个旧团山带皮小黄牛米线,102.64447,25.08472,3,6194
金柯迎惠园,102.64789,25.0839,3,6195
静伊食坊,102.68963,25.00975,3,6196
和顺缘小吃,102.68105,25.0063,3,6197
云母美食广场,102.70831,25.01787,3,6198
胜慧苑,102.68037,25.00177,3,6199
桌跃食坊,102.69693,24.98688,3,6200
大理段式小吃,102.6939,24.98108,3,6201
